"Offset(P)","Proto","LocalAddr","ForeignAddr","State","PID","Owner","Created","Hostname","Investigated"
"1.4078E+14","UDPv4","0.0.0.0:57461","*:*","","2844","svchost.exe","2019-02-15 02:04:00 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::57461","*:*","","2844","svchost.exe","2019-02-15 02:04:00 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv4","0.0.0.0:61114","*:*","","2844","svchost.exe","2019-02-15 02:04:25 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","UDPv6",":::61114","*:*","","2844","svchost.exe","2019-02-15 02:04:25 UTC+0000","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60068","23.43.62.193:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60403","216.58.194.142:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60053","23.43.62.169:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60050","23.43.62.195:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60067","23.43.62.193:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60483","74.125.1.152:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60058","23.43.62.202:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60059","23.43.62.202:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60057","23.43.62.202:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60056","23.43.62.202:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60252","13.89.217.116:443","ESTABLISHED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60048","72.247.76.26:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:59972","192.30.253.124:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60485","192.241.168.185:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60495","31.13.93.49:443","ESTABLISHED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:59443","18.215.66.244:443","ESTABLISHED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:59473","18.207.50.150:443","ESTABLISHED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60478","151.101.48.133:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60404","13.249.55.166:443","ESTABLISHED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60469","31.13.93.49:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60487","192.241.168.185:443","CLOSED","-1","","-","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60460","192.30.253.112:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
"1.4078E+14","TCPv4","192.168.35.3:60496","31.13.93.49:443","ESTABLISHED","-1","","","DESKTOP-NBVE6KH","false"
"2.68006E+14","UDPv4","127.0.0.1:48201","*:*","","8060","NVIDIA Web Hel","2019-02-13 23:34:08 UTC+0000","DESKTOP-NBVE6KH","false"
"2.72688E+14","TCPv4","192.168.35.3:60464","192.30.253.124:443","CLOSED","-1","","","DESKTOP-NBVE6KH","false"
