"Process","PID","CommandLine","Hostname","Investigated"
"svchost.exe","2264","c:\windows\system32\svchost.exe -k netsvcs -p -s UserManager","DESKTOP-NBVE6KH","false"
"svchost.exe","2296","c:\windows\system32\svchost.exe -k netsvcs -p -s SENS","DESKTOP-NBVE6KH","false"
"svchost.exe","2408","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s AudioEndpointBuilder","DESKTOP-NBVE6KH","false"
"svchost.exe","2416","c:\windows\system32\svchost.exe -k localservice -p -s FontCache","DESKTOP-NBVE6KH","false"
"svchost.exe","2784","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","DESKTOP-NBVE6KH","false"
"svchost.exe","2832","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","DESKTOP-NBVE6KH","false"
"svchost.exe","2828","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","DESKTOP-NBVE6KH","false"
"svchost.exe","2844","c:\windows\system32\svchost.exe -k networkservice -p -s Dnscache","DESKTOP-NBVE6KH","false"
"svchost.exe","2952","c:\windows\system32\svchost.exe -k appmodel -p -s StateRepository","DESKTOP-NBVE6KH","false"
"svchost.exe","3036","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s WinHttpAutoProxySvc","DESKTOP-NBVE6KH","false"
"svchost.exe","1028","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","DESKTOP-NBVE6KH","false"
"svchost.exe","3108","c:\windows\system32\svchost.exe -k netsvcs -p -s ShellHWDetection","DESKTOP-NBVE6KH","false"
"spoolsv.exe","3164","C:\WINDOWS\System32\spoolsv.exe","DESKTOP-NBVE6KH","false"
"svchost.exe","3200","c:\windows\system32\svchost.exe -k localservicenonetwork -p","DESKTOP-NBVE6KH","false"
"svchost.exe","3380","C:\WINDOWS\System32\svchost.exe -k utcsvc -p","DESKTOP-NBVE6KH","false"
"ibtsiva.exe","3388","C:\WINDOWS\system32\ibtsiva","DESKTOP-NBVE6KH","false"
"svchost.exe","3396","c:\windows\system32\svchost.exe -k netsvcs -p -s IKEEXT","DESKTOP-NBVE6KH","false"
"svchost.exe","3408","c:\windows\system32\svchost.exe -k netsvcs -p -s Winmgmt","DESKTOP-NBVE6KH","false"
"svchost.exe","3416","c:\windows\system32\svchost.exe -k networkservice -p -s CryptSvc","DESKTOP-NBVE6KH","false"
"nvcontainer.ex","3424","""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -f ""C:\ProgramData\NVIDIA\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000 -st ""C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll""","DESKTOP-NBVE6KH","false"
"svchost.exe","3432","c:\windows\system32\svchost.exe -k localservicenonetwork -p -s DPS","DESKTOP-NBVE6KH","false"
"NvTelemetryCon","3456","""C:\Program Files (x86)\NVIDIA Corporation\NvTelemetry\NvTelemetryContainer.exe"" -s NvTelemetryContainer -f ""C:\ProgramData\NVIDIA\NvTelemetryContainer.log"" -l 3 -d ""C:\Program Files (x86)\NVIDIA Corporation\NvTelemetry\plugins"" -r","DESKTOP-NBVE6KH","false"
"OVRServiceLaun","3524","""C:\Program Files\Oculus\Support\oculus-runtime\OVRServiceLauncher.exe""","DESKTOP-NBVE6KH","false"
"svchost.exe","3552","c:\windows\system32\svchost.exe -k localservice -p -s SstpSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","3560","c:\windows\system32\svchost.exe -k netsvcs -p -s LanmanServer","DESKTOP-NBVE6KH","false"
"SecurityHealth","3580","C:\WINDOWS\system32\SecurityHealthService.exe","DESKTOP-NBVE6KH","false"
"svchost.exe","3636","C:\WINDOWS\system32\svchost.exe -k imgsvc","DESKTOP-NBVE6KH","false"
"svchost.exe","3660","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s TrkWks","DESKTOP-NBVE6KH","false"
"VirtualDesktop","3696","""C:\Program Files\Virtual Desktop\VirtualDesktop.Service.exe""","DESKTOP-NBVE6KH","false"
"MemCompression","3720","","DESKTOP-NBVE6KH","false"
"vmnetdhcp.exe","3732","C:\Windows\SysWOW64\vmnetdhcp.exe","DESKTOP-NBVE6KH","false"
"vmnat.exe","3748","C:\Windows\SysWOW64\vmnat.exe","DESKTOP-NBVE6KH","false"
"MsMpEng.exe","3792","""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1901.7-0\MsMpEng.exe""","DESKTOP-NBVE6KH","false"
"svchost.exe","3856","c:\windows\system32\svchost.exe -k netsvcs -p -s WpnService","DESKTOP-NBVE6KH","false"
"dasHost.exe","4052","dashost.exe {0f43027e-d094-4f11-b6ee2e97a5769b83}","DESKTOP-NBVE6KH","false"
"svchost.exe","4080","c:\windows\system32\svchost.exe -k localservice -p -s WdiServiceHost","DESKTOP-NBVE6KH","false"
"svchost.exe","4172","c:\windows\system32\svchost.exe -k netsvcs -p -s iphlpsvc","DESKTOP-NBVE6KH","false"
"vmware-authd.e","4180","""C:\Program Files (x86)\VMware\VMware Player\vmware-authd.exe""","DESKTOP-NBVE6KH","false"
"vmware-usbarbi","4196","""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""","DESKTOP-NBVE6KH","false"
"svchost.exe","4240","c:\windows\system32\svchost.exe -k netsvcs","DESKTOP-NBVE6KH","false"
"WUDFHost.exe","4376","","DESKTOP-NBVE6KH","false"
"NisSrv.exe","5308","""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1901.7-0\NisSrv.exe""","DESKTOP-NBVE6KH","false"
"svchost.exe","5892","c:\windows\system32\svchost.exe -k localservice -p -s LicenseManager","DESKTOP-NBVE6KH","false"
"svchost.exe","2572","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s PcaSvc","DESKTOP-NBVE6KH","false"
"NVDisplay.Cont","6408","""C:\Program Files\NVIDIA Corporation\Display.NvContainer\NVDisplay.Container.exe"" -f ""C:\ProgramData\NVIDIA\DisplaySessionContainer%d.log"" -d ""C:\Program Files\NVIDIA Corporation\Display.NvContainer\plugins\Session"" -r -l 3 -p 30000 -c","DESKTOP-NBVE6KH","false"
"nvcontainer.ex","6636","""C:\Program Files (x86)\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -f ""C:\ProgramData\NVIDIA\NvContainerUser%dSPUser.log"" -d ""C:\Program Files (x86)\NVIDIA Corporation\NvContainer\plugins\SPUser"" -r -l 3 -p 30000 -c","DESKTOP-NBVE6KH","false"
"nvcontainer.ex","6648","""C:\Program Files (x86)\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -f ""C:\ProgramData\NVIDIA\NvContainerUser%d.log"" -d ""C:\Program Files (x86)\NVIDIA Corporation\NvContainer\plugins\User"" -r -l 3 -p 30000 -st ""C:\Program Files (x86)\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll"" -c","DESKTOP-NBVE6KH","false"
"sihost.exe","6688","sihost.exe","DESKTOP-NBVE6KH","false"
"svchost.exe","6728","c:\windows\system32\svchost.exe -k unistacksvcgroup -s CDPUserSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","6824","c:\windows\system32\svchost.exe -k unistacksvcgroup -s WpnUserService","DESKTOP-NBVE6KH","false"
"taskhostw.exe","6964","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}","DESKTOP-NBVE6KH","false"
"svchost.exe","7164","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s TabletInputService","DESKTOP-NBVE6KH","false"
"ctfmon.exe","6204","""ctfmon.exe""","DESKTOP-NBVE6KH","false"
"OVRServer_x64.","6324","10c 140","DESKTOP-NBVE6KH","false"
"conhost.exe","6320","\??\C:\WINDOWS\system32\conhost.exe 0x4","DESKTOP-NBVE6KH","false"
"userinit.exe","5572","","DESKTOP-NBVE6KH","false"
"explorer.exe","2432","C:\WINDOWS\Explorer.EXE","DESKTOP-NBVE6KH","false"
"svchost.exe","7380","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s NgcSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","7444","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s NgcCtnrSvc","DESKTOP-NBVE6KH","false"
"NVIDIA Web Hel","8060","""C:\Program Files (x86)\NVIDIA Corporation\NvNode\NVIDIA Web Helper.exe"" index.js","DESKTOP-NBVE6KH","false"
"conhost.exe","8072","\??\C:\WINDOWS\system32\conhost.exe 0x4","DESKTOP-NBVE6KH","false"
"svchost.exe","7432","c:\windows\system32\svchost.exe -k localservice -p -s CDPSvc","DESKTOP-NBVE6KH","false"
"svchost.exe","7692","c:\windows\system32\svchost.exe -k netsvcs -p -s TokenBroker","DESKTOP-NBVE6KH","false"
"ShellExperienc","7972","""C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca","DESKTOP-NBVE6KH","false"
"SearchUI.exe","8496","""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca","DESKTOP-NBVE6KH","false"
"RuntimeBroker.","8680","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-NBVE6KH","false"
"dllhost.exe","8924","C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}","DESKTOP-NBVE6KH","false"
"RuntimeBroker.","9004","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-NBVE6KH","false"
"RuntimeBroker.","8820","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-NBVE6KH","false"
"SettingSyncHos","9124","C:\WINDOWS\system32\SettingSyncHost.exe -Embedding","DESKTOP-NBVE6KH","false"
"LockApp.exe","9700","""C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca","DESKTOP-NBVE6KH","false"
"RuntimeBroker.","9880","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-NBVE6KH","false"
"Microsoft.Note","9016","""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.1.46.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca","DESKTOP-NBVE6KH","false"
"RuntimeBroker.","10108","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-NBVE6KH","false"
"svchost.exe","10096","c:\windows\system32\svchost.exe -k netsvcs -p -s Appinfo","DESKTOP-NBVE6KH","false"
"Microsoft.Note","10276","""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.1.46.0_x64__8wekyb3d8bbwe\Microsoft.Notes.DesktopBridge.exe"" /InvokerPRAID: App","DESKTOP-NBVE6KH","false"
"svchost.exe","10600","c:\windows\system32\svchost.exe -k unistacksvcgroup","DESKTOP-NBVE6KH","false"
"MSASCuiL.exe","11680","""C:\Program Files\Windows Defender\MSASCuiL.exe""","DESKTOP-NBVE6KH","false"
"OneDrive.exe","11828","","DESKTOP-NBVE6KH","false"
"svchost.exe","12008","c:\windows\system32\svchost.exe -k localserviceandnoimpersonation -p -s SSDPSRV","DESKTOP-NBVE6KH","false"
"Discord.exe","588","""C:\Users\monpolo\AppData\Local\Discord\app-0.0.304\Discord.exe""","DESKTOP-NBVE6KH","false"
"Discord.exe","676","""C:\Users\monpolo\AppData\Local\Discord\app-0.0.304\Discord.exe"" --type=gpu-process --enable-features=SharedArrayBuffer --no-sandbox --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --service-request-channel-token=9890421302397712443 --mojo-platform-channel-handle=1620 /prefetch:2","DESKTOP-NBVE6KH","false"
"Update.exe","11788","","DESKTOP-NBVE6KH","false"
"slack.exe","12352","""C:\Users\monpolo\AppData\Local\slack\app-3.3.7\slack.exe"" --startup","DESKTOP-NBVE6KH","false"
"Twitch.exe","12420","","DESKTOP-NBVE6KH","false"
"Discord.exe","12488","C:\Users\monpolo\AppData\Local\Discord\app-0.0.304\Discord.exe --reporter-url=http://crash.discordapp.com:1127/post --application-name=Discord ""--crashes-directory=C:\Users\monpolo\AppData\Local\Temp\Discord Crashes"" --v=1","DESKTOP-NBVE6KH","false"
"Discord.exe","12592","","DESKTOP-NBVE6KH","false"
"BrYNSvc.exe","12788","""C:\Program Files (x86)\Browny02\BrYNSvc.exe""","DESKTOP-NBVE6KH","false"
"jusched.exe","12868","""C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe""","DESKTOP-NBVE6KH","false"
"slack.exe","13088","""C:\Users\monpolo\AppData\Local\slack\app-3.3.7\slack.exe"" --type=gpu-process --enable-features=FixAltGraph --no-sandbox --gpu-preferences=KAAAAAAAAACAAwCAAQAAAAAAAAAAAGAAEAAAAAAAAAAAAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --service-request-channel-token=E095EA5D99CB7DD0E215EE3C6F4CF4DE --mojo-platform-channel-handle=1712 /prefetch:2","DESKTOP-NBVE6KH","false"
"slack.exe","13128","C:\Users\monpolo\AppData\Local\slack\app-3.3.7\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=51aa9704-c1a3-4f45-90c3-b2102b6d7a58&version=3.3.7&channel=prod --application-name=Slack ""--crashes-directory=C:\Users\monpolo\AppData\Local\Temp\Slack Crashes"" --v=1","DESKTOP-NBVE6KH","false"
"slack.exe","12404","","DESKTOP-NBVE6KH","false"
"slack.exe","13232","","DESKTOP-NBVE6KH","false"
"cmd.exe","12720","","DESKTOP-NBVE6KH","false"
"cmd.exe","12728","","DESKTOP-NBVE6KH","false"
"cmd.exe","6236","","DESKTOP-NBVE6KH","false"
"cmd.exe","13796","","DESKTOP-NBVE6KH","false"
"chrome.exe","13888","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","14188","","DESKTOP-NBVE6KH","false"
"powershell_ise","8048","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe""","DESKTOP-NBVE6KH","false"
"Discord.exe","15000","","DESKTOP-NBVE6KH","false"
"Discord.exe","14796","","DESKTOP-NBVE6KH","false"
"Discord.exe","15120","C:\Users\monpolo\AppData\Local\Discord\app-0.0.304\Discord.exe --overlay-host","DESKTOP-NBVE6KH","false"
"Discord.exe","11356","""C:\Users\monpolo\AppData\Local\Discord\app-0.0.304\Discord.exe"" --type=gpu-process --enable-features=SharedArrayBuffer --no-sandbox --gpu-preferences=KAAAAAAAAACAAwBAAQAAAAAAAAAAAGAAAAAAAAAAAAAIAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --use-gl=swiftshader-webgl --service-request-channel-token=7381332616950418527 --mojo-platform-channel-handle=1816 /prefetch:2","DESKTOP-NBVE6KH","false"
"svchost.exe","16108","c:\windows\system32\svchost.exe -k netsvcs -p","DESKTOP-NBVE6KH","false"
"rundll32.exe","2100","","DESKTOP-NBVE6KH","false"
"nvsphelper64.e","2116","""C:\Program Files\NVIDIA Corporation\ShadowPlay\nvsphelper64.exe""","DESKTOP-NBVE6KH","false"
"NVIDIA Share.e","2220","""C:\Program Files (x86)\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe""","DESKTOP-NBVE6KH","false"
"nvnodejslaunch","2564","","DESKTOP-NBVE6KH","false"
"NVIDIA Share.e","3464","","DESKTOP-NBVE6KH","false"
"Discord.exe","3632","","DESKTOP-NBVE6KH","false"
"svchost.exe","12540","c:\windows\system32\svchost.exe -k networkservice -p -s DoSvc","DESKTOP-NBVE6KH","false"
"SgrmBroker.exe","10692","C:\WINDOWS\system32\SgrmBroker.exe","DESKTOP-NBVE6KH","false"
"svchost.exe","12436","c:\windows\system32\svchost.exe -k networkservice -p -s WinRM","DESKTOP-NBVE6KH","false"
"svchost.exe","12804","c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s wscsvc","DESKTOP-NBVE6KH","false"
"Microsoft.Phot","15292","""C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.18114.17710.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe"" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca","DESKTOP-NBVE6KH","false"
"svchost.exe","9800","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s StorSvc","DESKTOP-NBVE6KH","false"
"RuntimeBroker.","11040","C:\Windows\System32\RuntimeBroker.exe -Embedding","DESKTOP-NBVE6KH","false"
"jucheck.exe","9000","""C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe"" -auto -critical","DESKTOP-NBVE6KH","false"
"svchost.exe","8692","","DESKTOP-NBVE6KH","false"
"svchost.exe","7376","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","DESKTOP-NBVE6KH","false"
"svchost.exe","11772","C:\WINDOWS\system32\svchost.exe -k appmodel -p -s camsvc","DESKTOP-NBVE6KH","false"
"ApplicationFra","6044","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding","DESKTOP-NBVE6KH","false"
"PickerHost.exe","9092","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","516","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","14240","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","2388","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","11716","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","8784","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","9336","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","1668","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","7436","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","6520","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","8528","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","9144","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","10132","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","8908","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","4456","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","11252","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","13944","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","4408","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","10320","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","16356","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","10792","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","3956","","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","14860","","DESKTOP-NBVE6KH","false"
"conhost.exe","4268","\??\C:\WINDOWS\system32\conhost.exe 0x4","DESKTOP-NBVE6KH","false"
"LogonUI.exe","2940","","DESKTOP-NBVE6KH","false"
"LogonUI.exe","9360","","DESKTOP-NBVE6KH","false"
"OfficeClickToR","944","","DESKTOP-NBVE6KH","false"
"OfficeClickToR","15556","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","DESKTOP-NBVE6KH","false"
"AppVShNotify.e","11952","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""","DESKTOP-NBVE6KH","false"
"AppVShNotify.e","6040","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe""","DESKTOP-NBVE6KH","false"
"SearchIndexer.","5860","C:\WINDOWS\system32\SearchIndexer.exe /Embedding","DESKTOP-NBVE6KH","false"
"sedsvc.exe","16144","""C:\Program Files\rempl\sedsvc.exe""","DESKTOP-NBVE6KH","false"
"svchost.exe","6288","c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DsSvc","DESKTOP-NBVE6KH","false"
"Steam.exe","16208","""C:\Program Files (x86)\Steam\Steam.exe""","DESKTOP-NBVE6KH","false"
"steamwebhelper","1824","","DESKTOP-NBVE6KH","false"
"SteamService.e","10820","""C:\Program Files (x86)\Common Files\Steam\SteamService.exe"" /RunAsService","DESKTOP-NBVE6KH","false"
"steamwebhelper","380","","DESKTOP-NBVE6KH","false"
"steamwebhelper","12304","","DESKTOP-NBVE6KH","false"
"steamwebhelper","2476","","DESKTOP-NBVE6KH","false"
"steamwebhelper","8780","","DESKTOP-NBVE6KH","false"
"audiodg.exe","6700","C:\WINDOWS\system32\AUDIODG.EXE 0x4fc","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","11404","","DESKTOP-NBVE6KH","false"
"svchost.exe","12892","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost","DESKTOP-NBVE6KH","false"
"EXCEL.EXE","10440","","DESKTOP-NBVE6KH","false"
"svchost.exe","688","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s gpsvc","DESKTOP-NBVE6KH","false"
"DumpIt-64.exe","4904","""C:\VolH\Tools\DumpIt-64.exe"" /Q /N /J /T RAW /OUTPUT C:\VolH\Image\DESKTOP-NBVE6KH.bin","DESKTOP-NBVE6KH","false"
"conhost.exe","11664","\??\C:\WINDOWS\system32\conhost.exe 0x4","DESKTOP-NBVE6KH","false"
"WmiPrvSE.exe","13596","","DESKTOP-NBVE6KH","false"
"SearchFilterHo","9400","","DESKTOP-NBVE6KH","false"
