Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x4f54d160         TCPv4    172.115.1.52:58713             172.115.4.254:5045   ESTABLISHED      1292     winlogbeat.exe 
0x13e319230        TCPv4    -:63275                        -:3128               CLOSED           4260     chrome.exe     
0x13e372590        TCPv4    -:0                            24.75.76.50:0        CLOSED           1496     java.exe       
0x13e37a7c0        TCPv6    -:0                            2898:eb30:80fa:ffff:2898:eb30:80fa:ffff:0 CLOSED           1292     winlogbeat.exe 
0x13e37e010        TCPv4    172.115.1.52:59937             172.115.4.254:8080   ESTABLISHED      1352     esensor.exe    
0x13e37f5c0        TCPv4    -:63354                        -:3128               CLOSED           4260     chrome.exe     
0x13e382710        TCPv6    -:0                            2898:eb30:80fa:ffff:2898:eb30:80fa:ffff:0 CLOSED           1496     java.exe       
0x13e3c3b10        TCPv4    172.115.1.52:5985              172.115.4.254:57763  CLOSED           4        System         
0x13e3d4810        TCPv4    172.115.1.52:5985              172.115.4.254:6423   CLOSED           4        System         
0x13e3dba20        TCPv4    -:62553                        -:3128               CLOSED           4260     chrome.exe     
0x13e4303a0        TCPv4    -:63050                        -:3128               CLOSED           4260     chrome.exe     
0x13e6cb240        TCPv4    -:0                            104.0.92.50:0        CLOSED           1        @?1????       
0x13e6fb520        TCPv6    -:0                            6800:5c32:80fa:ffff:6800:5c32:80fa:ffff:0 CLOSED           1        @?1????       
0x13e7e4880        TCPv6    -:0                            6880:7232:80fa:ffff:6880:7232:80fa:ffff:0 CLOSED           1        @?1????       
0x13ea92340        TCPv4    -:63359                        -:3128               CLOSED           4260     chrome.exe     
0x13ea9b330        TCPv4    172.115.1.52:5985              172.115.4.254:19115  CLOSED           4        System         
0x13eb33c70        TCPv4    127.0.0.1:57726                127.0.0.1:49999      CLOSED           1496     java.exe       
0x13eb87cf0        TCPv4    -:63389                        -:3128               CLOSED           4260     chrome.exe     
0x13ebb5cf0        TCPv4    -:60545                        172.115.1.106:31627  CLOSED           3824     OUTLOOK.EXE    
0x13ed5c010        UDPv4    10.10.1.52:60887               *:*                                   3972     svchost.exe    2019-08-28 13:12:46 UTC+0000
0x13ed808c0        UDPv4    0.0.0.0:5355                   *:*                                   348      svchost.exe    2019-09-03 12:09:43 UTC+0000
0x13f400850        UDPv4    172.115.1.52:60888             *:*                                   3972     svchost.exe    2019-08-28 13:12:46 UTC+0000
0x13ecebcf0        TCPv4    -:63356                        -:3128               CLOSED           4260     chrome.exe     
0x13ed17730        TCPv6    -:0                            184b:4c32:80fa:ffff:184b:4c32:80fa:ffff:0 CLOSED           1496     java.exe       
0x13ed1f130        TCPv4    127.0.0.1:62693                127.0.0.1:49999      CLOSED           1496     java.exe       
0x13ed3dc10        TCPv4    -:62714                        -:3128               CLOSED           4260     chrome.exe     
0x13eed0270        TCPv6    -:0                            2873:5732:80fa:ffff:2873:5732:80fa:ffff:0 CLOSED           1292     winlogbeat.exe 
0x13eed4910        TCPv4    -:63399                        -:3128               CLOSED           4260     chrome.exe     
0x13eeecc30        TCPv4    172.115.1.52:5985              172.115.4.254:29872  CLOSED           4        System         
0x13ef01620        TCPv4    172.115.1.52:445               172.115.4.254:36622  ESTABLISHED      4        System         
0x13f1383f0        TCPv4    127.0.0.1:63417                127.0.0.1:49998      CLOSED           3988     java.exe       
0x13f791890        UDPv4    127.0.0.1:1900                 *:*                                   3972     svchost.exe    2019-08-28 13:12:47 UTC+0000
0x13fcddb10        UDPv4    127.0.0.1:60889                *:*                                   3972     svchost.exe    2019-08-28 13:12:46 UTC+0000
0x13fcf31c0        UDPv4    0.0.0.0:0                      *:*                                   1248     svchost.exe    2019-08-28 12:13:23 UTC+0000
0x13fcf31c0        UDPv6    :::0                           *:*                                   1248     svchost.exe    2019-08-28 12:13:23 UTC+0000
0x13fd1a7d0        UDPv4    0.0.0.0:0                      *:*                                   1248     svchost.exe    2019-08-28 12:13:23 UTC+0000
0x13fd97510        UDPv6    fe80::6df4:aad0:705b:93bf:1900 *:*                                   3972     svchost.exe    2019-08-28 13:12:47 UTC+0000
0x13ff32e30        UDPv6    fe80::6df4:aad0:705b:93bf:60884 *:*                                   3972     svchost.exe    2019-08-28 13:12:46 UTC+0000
0x13fc4eef0        TCPv4    0.0.0.0:51091                  0.0.0.0:0            LISTENING        500      services.exe   
0x13fc4eef0        TCPv6    :::51091                       :::0                 LISTENING        500      services.exe   
0x13fcbe3e0        TCPv4    0.0.0.0:51095                  0.0.0.0:0            LISTENING        1248     svchost.exe    
0x13fcbe3e0        TCPv6    :::51095                       :::0                 LISTENING        1248     svchost.exe    
0x13fcbe590        TCPv4    0.0.0.0:51095                  0.0.0.0:0            LISTENING        1248     svchost.exe    
0x13ff41a90        TCPv4    0.0.0.0:51091                  0.0.0.0:0            LISTENING        500      services.exe   
0x13f66b160        TCPv4    -:63358                        -:3128               CLOSED           4260     chrome.exe     
0x13f677160        TCPv4    -:62495                        -:3128               CLOSED           4260     chrome.exe     
0x13f8ff4a0        TCPv4    -:63280                        -:3128               CLOSED           4260     chrome.exe     
0x13f9a1790        TCPv4    10.10.1.52:54954               10.10.1.118:3128     CLOSED           5780     cmd.exe        
0x13fa53930        TCPv4    127.0.0.1:57739                127.0.0.1:12831      CLOSED           3256     chromedriver_w 
0x13fa61cf0        TCPv4    -:63330                        -:3128               CLOSED           4260     chrome.exe     
0x13fa85a50        TCPv4    10.10.1.52:54909               10.10.1.118:3128     CLOSED           5780     cmd.exe        
0x13fb17a50        TCPv4    127.0.0.1:61556                127.0.0.1:49999      CLOSED           1496     java.exe       
0x13fc9c9d0        TCPv6    -:0                            184b:4c32:80fa:ffff:184b:4c32:80fa:ffff:0 CLOSED           1496     java.exe       
0x13fd67a30        TCPv4    10.10.1.52:57337               10.10.200.207:5672   ESTABLISHED      1496     java.exe       
